지역,Year,강수량,수위,유입량,발전량
대청,2003,1748.9,857.42,2125.27,358009
대청,2004,1496.5,832.05,994.8,234037
대청,2005,1656.1,826.8,951.94,206244
대청,2006,1195.2,822.91,1028.13,172138.374
대청,2007,1750.9,837.43,1090.68,158959.344
대청,2008,1037.6,828.72,415.57,99267.698
대청,2009,1090.4,808.38,525.06,87085.584
대청,2010,1419.7,838.47,910.08,162732.72
대청,2011,1943.4,861.04,1358.56,219350.462
대청,2012,1409.5,867.2,1207.96,215495
대청,2013,1120.2,839.08,639.61,158209
대청,2014,1117.7,834.08,630.75,103329.032
대청,2015,822.7,817.2,420.01,105401
대청,2016,1228.4,836.83,637.2,99651
대청,2017,1127.5,868,503.39,97413.1296
대청,2018,1542.1,882.67,852.15,163702.915
대청,2019,984.2,888.99,514.1,110521.5252
대청,2020,1614,886.88,1914.07,201457.008
대청,2021,1109.5,864.2,677.91,123119
대청,2022,1203.1,859.96,513.41,100361
섬진강,2003,1974.2,2281.37,425.32,194613
섬진강,2004,1274.1,2255.96,207.21,136668
섬진강,2005,1418.4,2260.7,240.1,140572.1
섬진강,2006,1260.7,2246.34,202.74,126450.2
섬진강,2007,1438.1,2235.42,264.59,128130
섬진강,2008,915.3,2177.67,110.78,124522.3
섬진강,2009,1134.4,2147.98,164.67,66936.3
섬진강,2010,1795.1,2245.13,308.66,128895.3
섬진강,2011,1700,2265.36,305.31,139486.224
섬진강,2012,1503.9,2255.52,298.97,141253
섬진강,2013,1400,2220.43,204.98,156921
섬진강,2014,1340.5,2195.78,200.04,78303.771
섬진강,2015,843.1,2155.73,105.82,82558
섬진강,2016,1326.5,2186.77,184.17,61719
섬진강,2017,958.3,2175.95,115.18,54865.19703
섬진강,2018,1468.2,2240.64,229.66,89011.30955
섬진강,2019,1069.7,2264.32,138.75,75802.3
섬진강,2020,1869.8,2283.37,417.65,80815.7
섬진강,2021,1259.2,2255.63,178.5,72409
섬진강,2022,966.7,2193.23,83.37,73401
소양강,2003,1524,2089.91,1288.8,693106
소양강,2004,1099,2080.85,966.6,622236
소양강,2005,1226,2057.01,752.65,482736
소양강,2006,1450,2070.27,1134.69,560055.9
소양강,2007,1246,2055.21,908.37,543462.3
소양강,2008,1300,2042.02,695.6,412945.2
소양강,2009,1337,2094.07,894.02,559255.5
소양강,2010,1402,2083.13,895.46,459061.956
소양강,2011,1886,2154.85,1249.17,658646.897
소양강,2012,1130,2123.98,670.65,424501
소양강,2013,1590,2163.99,891.06,591192
소양강,2014,516,2063.11,349.35,356865.825
소양강,2015,650,1951.38,403.77,159597
소양강,2016,1216,2135.43,619.12,323910
소양강,2017,1117,2135.85,741.15,398147.9585
소양강,2018,1247,2155.97,795.61,505200.24
소양강,2019,791,2146.3,435.93,352275.6743
소양강,2020,1394,2162.41,1278.61,558624.9336
소양강,2021,928,2145.38,542.37,318149
소양강,2022,1611,2149.89,1042.64,608114
안동,2003,1579.3,1785.51,746.21,231226
안동,2004,1305,1767.54,500.85,183497
안동,2005,881.7,1731.75,323.33,91764
안동,2006,1098.1,1752.76,484.17,153569.59
안동,2007,1122,1741.09,378.86,106735.386
안동,2008,737.9,1732.94,234.15,104606.51
안동,2009,1058.5,1672.84,223.26,54369.362
안동,2010,1073.8,1697.03,315.89,75285.2
안동,2011,1251.5,1787.03,583.46,168622.787
안동,2012,1047,1776.95,367.18,125036
안동,2013,979.9,1758.84,269.91,107379
안동,2014,960.4,1714.97,272.16,56751.42
안동,2015,755.1,1714.62,113.84,64976
안동,2016,934.4,1740.11,276.91,66251
안동,2017,938.8,1746.4,206.8,72406.79286
안동,2018,1078,1772.94,373.89,75017.964
안동,2019,867.8,1808.1,243.75,104368.9672
안동,2020,1211.8,1841.53,523.58,123202.3099
안동,2021,974,1849.07,330.82,129320
안동,2022,655.7,1785.82,219.71,109440
용담,2003,2257,3065.88,593.35,142739
용담,2004,1479,3022.73,276.89,169692
용담,2005,1479,3010.22,305.24,152628
용담,2006,1523,2999.3,259.84,109282.6
용담,2007,1652,3024.3,294.04,139835.3
용담,2008,2121,2990.51,98.39,112964.3
용담,2009,1261,2944.48,178.08,63861.7
용담,2010,1935,3008.03,339.88,115379.6
용담,2011,1700,3055.96,367.03,148561.248
용담,2012,1570,3061.26,340.14,168173
용담,2013,1491,3072.97,233.87,164708
용담,2014,1241,3023,197.3,116649
용담,2015,962,2954.63,120.28,110257
용담,2016,1359,2951.21,220.06,84510
용담,2017,1130,2990.34,149.95,75825.52834
용담,2018,1514,3048.2,291.55,79575.7
용담,2019,1338,3117.56,199.69,105366.328
용담,2020,2430,3114.14,576.98,140501.671
용담,2021,1508,3055.49,241.64,101490
용담,2022,1129,3020.77,135.24,90744
의암,2003,2151.2,844.91,4041.59,169979
의암,2004,1575,847.46,4026.36,168144
의암,2005,1113.7,848.51,2923.11,151076
의암,2006,1674,850.07,2931.8,133894
의암,2007,1701,846.74,2658.89,148342
의암,2008,885.6,848.84,2095.31,143710
의암,2009,1608.9,850.02,1892.47,150387
의암,2010,1896,849.79,2481.55,163680
의암,2011,2051.5,845.93,2981.82,162276
의암,2012,1752.9,848.41,1485.28,138249
의암,2013,1220.6,849.12,2493.42,133707
의암,2014,1644.9,850.38,893.54,91467
의암,2015,1324.8,850.3,691.6,69884
의암,2016,1734.6,850.49,1090.09,101232
의암,2017,766.7,821.11,1340.77,119637.8179
의암,2018,1605.4,846.64,1459.07,131171
의암,2019,1481.6,847.54,967.38,97223
의암,2020,1812.7,846.45,3117.96,113750
의암,2021,1395,845.44,923.27,102526
의암,2022,966.2,848.05,2205.17,148582
임하,2003,1579.3,1864.1,653.18,183708
임하,2004,1305,1826.23,400.09,128506
임하,2005,881.7,1718.02,206.29,45587
임하,2006,1098.1,1719.23,340.11,51135.812
임하,2007,1122,1738.91,232.92,41441.79
임하,2008,737.9,1744.05,77.47,16731.594
임하,2009,1058.5,1732.37,130.9,15826.993
임하,2010,1073.8,1759.99,174.89,35393.186
임하,2011,1251.5,1778.68,276.13,62751.274
임하,2012,1047,1782.06,262.7,55960
임하,2013,979.9,1770.69,131.63,44690
임하,2014,960.4,1773.3,207.43,36859.2
임하,2015,755.1,1735.66,68.02,23425
임하,2016,934.4,1779.86,182.3,25555
임하,2017,938.8,1804.22,103.31,26048.79913
임하,2018,1078,1815.62,233.39,42629.6
임하,2019,867.8,1846.96,187.24,41020.4
임하,2020,1211.8,1844.02,348.18,81268.44
임하,2021,974,1799.39,195.01,31892
임하,2022,655.7,1756.41,86.38,20534
주암,2003,1762,1210.09,453.07,118745
주암,2004,1787,1202.3,338.19,104859
주암,2005,1131,1170.7,143.66,95235
주암,2006,1751,1157.22,300.92,73446.06
주암,2007,1800,1184.6,322.98,78906.264
주암,2008,1140,1182.9,102.08,55429.96
주암,2009,1673,1141.93,235.26,49139.5
주암,2010,1763,1209.34,350.42,84901.38
주암,2011,1558,1209.27,270.19,87042.154
주암,2012,1612,1218.85,364.91,68904
주암,2013,1421,1212.28,167.95,77028
주암,2014,1522,1197.72,270.8,81890.526
주암,2015,1186,1163.65,131.83,63338
주암,2016,1456,1194.55,230.21,64658
주암,2017,853,1165.1,66,39044.60244
주암,2018,1889,1173.52,244.85,42607.708
주암,2019,1461,1242.78,283.17,58782.90097
주암,2020,1664,1245.51,476.91,63536.832
주암,2021,1277,1212.04,180.14,48193
주암,2022,927,1145.36,79.07,37145
청평,2003,1933,602.02,7349.34,306248
청평,2004,1430,603.15,7405.17,294206
청평,2005,1617.5,603.87,6082.53,286864
청평,2006,1694,603.65,4856.98,234774
